Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,number_of_beds
372019,SOLARA HOSPITAL SHAWNEE,2021-09-01,2022-08-31,34
390003,GEISINGER BLOOMSBURG HOSPITAL,2021-07-01,2022-06-30,60
390048,GEISINGER LEWISTOWN HOSPITAL,2021-07-01,2022-06-30,133
390057,GRAND VIEW HOSPITAL,2021-07-01,2022-06-30,168
391302,MEYERSDALE COMMUNITY HOSPITAL,2021-07-01,2022-06-30,20
420030,COLLETON MEDICAL CENTER,2021-01-01,2021-12-31,135
460007,CEDAR CITY HOSPITAL,2021-01-01,2021-12-31,48
520091,HOWARD YOUNG MEDICAL CENTER,2021-07-01,2022-06-30,42
521337,ST CROIX REGIONAL MEDICAL CENTER,2021-07-01,2022-06-30,25
531301,SOUTH BIG HORN HOSPITAL,2021-07-01,2022-06-30,47
120014,WILCOX MEMORIAL HOSPTIAL,2021-07-01,2022-06-30,72
144034,STREAMWOOD,2021-07-01,2022-06-30,178
150001,JOHNSON MEMORIAL HOSPITAL,2021-01-01,2021-12-31,49
231311,DECKERVILLE COMMUNITY HOSPITAL,2021-07-01,2022-06-30,15
260006,HEARTLAND REGIONAL MEDICAL CENTER,2021-07-01,2022-06-30,352
394038,UHS DOYLESTOWN LLC,2021-07-01,2022-06-30,
520002,ASPIRUS STEVENS POINT HOSPITAL,2021-07-01,2022-06-30,82
521313,ASPIRUS TOMAHAWK HOSPITAL,2021-07-01,2022-06-30,15
41309,LAWRENCE MEMORIAL HOSPITAL,2021-07-01,2022-06-30,25
114029,EAST CENTRAL REGIONAL HOSPITAL,2021-07-01,2022-06-30,110
170200,VIA CHRISTI HOSP. WICHITA ST. TERESA,2021-08-01,2022-07-31,46
210012,SINAI HOSPITAL OF BALTIMORE  INC.,2021-07-01,2022-06-30,426
260050,MOSAIC MEDICAL CENTER - MARYVILLE,2021-07-01,2022-06-30,51
261328,NORTHWEST MEDICAL CENTER,2021-07-01,2022-06-30,25
262019,HEARTLAND LONG TERM ACUTE CARE HOSPI,2021-07-01,2022-06-30,41
282002,SSH - LINCOLN,2021-02-01,2021-10-21,24
314013,TRENTON PSYCHIATRIC HOSPITAL,2021-07-01,2022-06-30,486
444001,MEMPHIS MENTAL HLTH INSTITUTE,2021-07-01,2022-06-30,55
444003,RIDGEVIEW PSYCHIATRIC HOSPITAL,2021-07-01,2022-06-30,16
444008,WESTERN MENTAL HLTH INSTIT.,2021-07-01,2022-06-30,150
444010,PATHWAYS OF TN  INC.,2021-07-01,2022-06-30,25
444014,MIDDLE TENN MENTAL HLTH INSTITUTE,2021-07-01,2022-06-30,207
450876,LUBBOCK HEART HOSPITAL,2021-01-01,2021-12-31,73
111328,PHOEBE WORTH MEDICAL CENTER,2021-08-01,2022-07-31,25
150009,CLARK MEMORIAL HOSPITAL,2021-08-01,2022-07-31,168
154050,NORTHEASTERN CENTER,2021-07-01,2022-06-30,16
160067,MERCYONE WATERLOO MEDICAL CENTER,2021-07-01,2022-06-30,187
190079,ST. CHARLES PARISH HOSPITAL,2021-08-01,2022-07-31,57
192006,CORNERSTONE HOSPITAL OF BOSSIER CITY,2021-09-01,2022-08-31,43
224040,DR. SOLOMON CARTER FULLER MENTAL HL,2021-07-01,2022-06-30,60
241991,BEACON HAVEN,2021-08-01,2022-07-31,
281356,PERKINS COUNTY HEALTH SERVICES,2021-07-01,2022-06-30,70
291307,MESA VIEW REGIONAL HOSPITAL,2021-08-01,2022-07-31,25
321307,MINER OF COLFAX MEDICAL CENTER,2021-07-01,2022-06-30,62
341305,SWAIN COUNTY HOSPITAL,2021-08-01,2022-07-31,24
342015,CAROLINAS CONTINUECARE PINEVILLE,2021-08-01,2022-07-31,40
441307,RIVERVIEW REGIONAL MEDICAL CENTER,2021-08-01,2022-07-31,35
451393,CROCKETT MEDICAL CENTER,2021-01-01,2021-12-31,25
452095,SOLARA HOSPITAL MCALLEN,2021-09-01,2022-08-31,53
492009,VIBRA HOSPITAL OF RICHMOND  LLC,2021-08-01,2022-07-31,60
520033,ASPIRUS RIVERVIEW HOSPITAL & CLINICS,2021-07-01,2022-06-30,44
520066,MERCY HEALTH SYSTEM CORPORATION,2021-07-01,2022-06-30,209
521311,ASPIRUS STANLEY HOSPITAL,2021-07-01,2022-06-30,24
673041,CARRUS REHABILITATION HOSPITAL,2021-08-01,2022-07-31,24
14016,USA HEALTHCARE PSYCH SERVICES LLC,2021-07-01,2022-06-30,40
104024,CIRCLES OF CARE  INC.,2021-07-01,2022-06-30,172
154011,COMMUNITY MENTAL HEALTH CENTER,2021-07-01,2022-06-30,16
222003,TEWKSBURY HOSPITAL,2021-07-01,2022-06-30,540
344016,BRYNN MARR HOSPITAL,2021-07-01,2022-06-30,102
344023,JULIAN F KEITH - ADATC,2021-07-01,2022-06-30,80
344027,RJ BLACKLEY ADATC,2021-07-01,2022-06-30,60
344033,WALTER B JONES LAKESIDE,2021-07-01,2022-06-30,51
390270,GEISINGER WYOMING VALLEY MED CTR,2021-07-01,2022-06-30,318
521357,MERCY WALWORTH HOSPITAL,2021-07-01,2022-06-30,25
42010,CORNERSTONE HOSPITAL OF LITTLE ROCK,2021-09-01,2022-08-31,40
44011,ARKANSAS STATE HOSPITAL,2021-07-01,2022-06-30,230
100137,ADVENTHEALTH HEART OF FLORIDA,2021-07-01,2022-06-30,193
102019,KINDRED HOSPITAL OCALA,2021-09-01,2022-08-31,31
114013,WEST CENTRAL GA REGIONAL HOSPITAL,2021-07-01,2022-06-30,40
114019,GEORGIA REGIONAL HOSPITAL ATLANTA,2021-07-01,2022-06-30,114
141335,HARVARD MEMORIAL HOSPITAL,2021-07-01,2022-06-30,58
192031,CORNERSTONE HOSPITAL OF WEST MONROE,2021-09-01,2022-08-31,47
371336,NEWMAN MEMORIAL HOSPITAL,2021-01-01,2021-12-31,25
450730,CARROLLTON REGIONAL MEDICAL CENTER,2021-01-01,2021-12-31,89
453072,UT HEALTH EAST TEXAS REHAB HOSPITAL,2021-08-01,2022-07-31,49
490104,HIRAM W DAVIS MEDICAL CENTER - MS,2021-07-01,2022-06-30,361
494017,SOUTHERN VIRGINIA MENTAL HEALTH INST,2021-07-01,2022-06-30,72
494029,SOUTHWESTERN VA MENTAL HLTH INST IPT,2021-07-01,2022-06-30,205
494033,CATAWBA HOSPITAL,2021-07-01,2022-06-30,270
514009,MILDRED MITCHELL-BATEMAN HOSPITAL,2021-07-01,2022-06-30,110
514012,WILLIAM R SHARPE JR HOSPITAL,2021-07-01,2022-06-30,200
520041,DIVINE SAVIOR HOSPITAL,2021-07-01,2022-06-30,166
34031,QUAIL RUN BEHAVIORAL HEALTH,2021-06-01,2022-05-31,116
154014,THE OTIS R. BOWEN CENTER,2021-07-01,2022-06-30,20
154024,VALLE VISTA,2021-08-01,2022-07-31,132
212002,WESTERN MARYLAND HOSPITAL CENTER,2021-07-01,2022-06-30,123
212003,DEERS HEAD CENTER,2021-07-01,2022-06-30,146
214002,EASTERN SHORE HOSPITAL CENTER,2021-07-01,2022-06-30,84
214012,THOMAS B. FINAN,2021-07-01,2022-06-30,88
394040,THE MEADOWS HOSPITAL,2021-07-01,2022-06-30,119
452032,CHG CORNERSTONE HOSP OF HOUSTON,2021-09-01,2022-08-31,74
452046,HOUSTON HEALTHCARE SPECIALTY HOSP.,2021-08-01,2022-07-31,39
673063,TRUSTPOINT REHABILITATION HOSPITAL O,2021-08-01,2022-07-31,93
50194,WATSONVILLE COMMUNITY HOSPTIAL,2021-08-01,2022-07-31,106
80009,BAYHEALTH HOSPITAL  SUSSEX CAMPUS,2021-07-01,2022-06-30,147
102017,SSH - PANAMA CITY  INC,2021-08-01,2022-07-31,30
104007,NORTHEAST FLORIDA STATE HOSPITAL,2021-07-01,2022-06-30,1138
104059,EASTSIDE PSYCHIATRIC HOSPITAL,2021-07-01,2022-06-30,46
132002,VIBRA HOSPITAL OF BOISE,2021-09-01,2022-08-31,40
140239,JAVON BEA HOSPITAL,2021-07-01,2022-06-30,211
141347,CARLINVILLE AREA HOSPITAL,2021-08-01,2022-07-31,25
154035,FOUR COUNTY COUNSELING CENTER,2021-07-01,2022-06-30,16
200041,INLAND HOSPITAL,2020-10-01,2021-09-30,33
200050,MAINE COAST MEMORIAL HOSPITAL,2020-10-01,2021-09-30,45
224001,TAUNTON STATE HOSPITAL,2021-07-01,2022-06-30,45
230275,HEALTHSOURCE SAGINAW  INC.,2021-01-01,2021-12-31,347
290049,RENOWN SOUTH MEADOWS MED CTR,2021-07-01,2022-06-30,138
351332,HEART OF AMERICA MEDICAL CENTER,2021-04-01,2022-03-31,70
390001,COMMUNITY MEDICAL CENTER,2021-07-01,2022-06-30,293
394055,LANCASTER BEHAVIORAL HEALTH HOSPITAL,2021-07-01,2022-06-30,126
422009,REGENCY HOSPITAL OF GREENVILLE,2021-08-01,2022-07-31,32
444028,BEHAVIORAL HEALTH OF ROCKY TOP  LLC,2021-07-01,2022-06-30,18
453096,VIBRA REHABILITATION HOSPITAL OF AMA,2021-08-01,2022-07-31,44
460006,LDS HOSPITAL,2021-01-01,2021-12-31,256
460044,ALTA VIEW HOSPITAL,2021-01-01,2021-12-31,57
460058,RIVERTON HOSPITAL,2021-01-01,2021-12-31,87
520019,ASPIRUS RHINELANDER HOSPITAL,2021-07-01,2022-06-30,42
80004,BAYHEALTH HOSPITAL  KENT CAMPUS,2021-07-01,2022-06-30,281
154008,NUERODIAGNOSTIC INSTITUTE,2021-07-01,2022-06-30,159
154018,RICHMOND STATE HOSPITAL,2021-07-01,2022-06-30,213
154019,MADISON STATE HOSPITAL,2021-07-01,2022-06-30,150
181332,FLEMING COUNTY HOSPITAL,2021-08-01,2022-07-31,25
183026,CARDINAL HILL REHABILITATION HOSPITA,2021-09-01,2022-08-31,232
32004,CORNERSTONE HOSP OF SE ARIZONA,2021-09-01,2022-08-31,34
70010,BRIDGEPORT HOSPITAL,2020-10-01,2021-09-30,426
102022,SSH - GAINESVILLE INC,2021-08-01,2022-07-31,48
103300,JOHNS HOPKINS ALL CHILDRENS HOSPITA,2021-07-01,2022-06-30,259
154009,HAMILTON CENTER  INC.,2021-07-01,2022-06-30,16
154020,REGIONAL MENTAL HEALTH CENTER,2021-07-01,2022-06-30,16
154052,PORTER-STARKE SERVICES  INC,2021-07-01,2022-06-30,16
174016,PRAIRIE VIEW  INC.,2021-07-01,2022-06-30,30
193067,REHAB HOSPITAL OF JENNINGS,2021-08-01,2022-07-31,27
224028,CORRIGAN MENTAL HEALTH CENTER,2021-07-01,2022-06-30,16
224031,CAPE COD AND ISLANDS MENTAL HEALTH C,2021-07-01,2022-06-30,16
224032,WORCESTER RECOVERY CENTER AND HOSP,2021-07-01,2022-06-30,293
230080,MCLAREN CENTRAL MICHIGAN,2020-10-01,2021-09-30,49
252006,REGENCY HOSPITAL OF MERIDIAN,2021-08-01,2022-07-31,40
280133,NEBRASKA SPINE HOSPITAL,2021-01-01,2021-12-31,34
390203,DOYLESTOWN HOSPITAL,2021-07-01,2022-06-30,247
410013,THE WESTERLY HOSPITAL,2020-10-01,2021-09-30,95
454065,HICKORY TRAIL HOSPITAL,2021-08-01,2022-07-31,86
520213,FROEDTERT HLTH NEIGHORHOOD HOSP LLC,2021-07-01,2022-06-30,32
170123,WESLEY MEDICAL CENTER,2021-01-01,2021-12-31,590
390076,BRANDYWINE HOSPITAL,2021-07-01,2022-01-31,171
451379,CORYELL MEMORIAL HOSPITAL,2021-08-01,2022-07-31,25
74012,SOUTHWEST CT MENTAL HEALTH SYSTEM,2021-07-01,2022-06-30,62
74015,ALBERT J SOLNIT CHILDRENS CENTER -,2021-07-01,2022-06-30,
114028,GA REGIONAL HOSPITAL AT SAVANNAH,2021-07-01,2022-06-30,112
144010,CHICAGO READ MENTAL HEALTH CENTER,2021-07-01,2022-06-30,162
144016,ALTON MENTAL HEALTH CENTER,2021-07-01,2022-06-30,132
154056,EVANSVILLE STATE HOSPITAL,2021-07-01,2022-06-30,168
403301,UNIVERSITY PEDIATRIC HOSPITAL,2021-07-01,2022-06-30,
444029,PINEWOOD SPRINGS,2021-08-01,2022-07-31,60
492010,CENTRA SPECIALTY HOSPITAL,2021-01-01,2021-12-31,36
70007,LAWRENCE & MEMORIAL HOSPITAL,2020-10-01,2021-09-30,252
70022,YALE-NEW HAVEN HOSPITAL,2020-10-01,2021-09-30,1567
144021,MCFARLAND MENTAL HEALTH CENTER,2021-07-01,2022-06-30,142
144028,JOHN J MADDEN MENTAL HEALTH CENTER,2021-07-01,2022-06-30,140
144037,ELGIN MENTAL HEALTH CENTER,2021-07-01,2022-06-30,427
144038,CHOATE MENTAL HEALTH CENTER,2021-07-01,2022-06-30,238
330079,ADIRONDACK MEDICAL CENTER,2021-01-01,2021-12-31,155
330194,MAIMONIDES MEDICAL CENTER,2021-01-01,2021-12-31,711
412001,ELEANOR SLATER HOSPITAL,2021-07-01,2022-06-30,230
51314,KERN VALLEY HEALTHCARE DISTRICT,2021-07-01,2022-06-30,98
134009,LIFEWAYS HOSPITAL,2021-07-01,2022-06-30,16
171350,RUSSELL REGIONAL HOSPITAL,2021-08-01,2022-07-31,44
324014,CENTRAL DESERT BEHAVIORAL HH,2021-08-01,2022-07-31,64
673070,SOUTH PLAINS REHABILITATION HOSPITAL,2021-09-01,2022-08-31,66
102018,PAM SPECIALTY HOSPITAL OF SARASOTA,2021-09-01,2022-08-31,40
154021,GRANT BLACKFORD MENTAL HEALTH  INC.,2021-07-01,2022-06-30,16
154031,OAKLAWN PSYCHIATRIC CENTER  INC.,2021-07-01,2022-06-30,16
164003,MENTAL HEALTH INSTITUTE,2021-07-01,2022-06-30,56
281335,CALLAWAY DISTRICT HOSPITAL,2021-08-01,2022-07-31,12
281352,COMMUNITY MEDICAL CENTER  INC.,2021-08-01,2022-07-31,24
100298,FLORIDA STATE HOSPITAL,2021-07-01,2022-06-30,1230
204004,DOROTHEA DIX PSYCHIATRIC CENTER,2021-07-01,2022-06-30,51
213300,MT WASHINGTON PEDIATRIC HOSPITAL  IN,2021-07-01,2022-06-30,
222023,WESTERN MASSACHUSETTS HOSPITAL,2021-07-01,2022-06-30,87
343027,NOVANT HEALTH REHABILITATION HOSPITA,2020-10-01,2021-09-30,68
374001,NORTHWEST CTR FOR BEHAVIORAL HEALTH,2021-07-01,2022-06-30,24
423032,ENCOMPASS HEALTH REHABILITATION HOSP,2020-10-01,2021-09-30,38
423033,TIDELANDS HEALTH REHABILITATION HOSP,2020-10-01,2021-09-30,75
450092,FORT DUNCAN MEDICAL CENTER,2021-01-01,2021-12-31,101
460026,SEVIER VALLEY HOSPITAL,2021-01-01,2021-12-31,24
513030,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,96
13025,ENCOMPASS HEALTH LAKESHORE REHABILIT,2021-01-01,2021-12-31,100
13028,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,80
13032,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,46
33025,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,60
33034,YUMA REHABILITATION HOSPITAL  AN AFF,2021-01-01,2021-12-31,51
34013,ST. LUKES BEHAVIORAL HEALTH CENTER,2021-06-01,2022-05-31,127
53031,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,86
54157,GLENDORA OAKS BEHAVIORAL HEALTH HOSP,2021-01-01,2021-06-16,21
103028,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,126
103031,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,116
103033,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,76
103040,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,75
103042,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,80
113032,REHABILITATION HOSPITAL OF NEWNAN,2020-10-01,2021-09-30,60
153025,ENCOMPASS HEALTH DEACONESS REHABILIT,2021-01-01,2021-12-31,98
183027,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,51
190017,OPELOUSAS GENERAL HOSPITAL,2021-07-01,2022-06-30,197
213028,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,74
230059,SAINT MARYS HEALTH CARE,2021-07-01,2022-06-30,303
240040,RANGE REGIONAL HEALTH SERVICES,2021-01-01,2021-12-31,72
240050,FAIRVIEW LAKES REGIONAL MEDICAL CTR,2021-01-01,2021-12-31,55
240064,GRAND ITASCA CLINIC AND HOSPITAL,2021-01-01,2021-12-31,36
240078,FAIRVIEW SOUTHDALE HOSPITAL,2021-01-01,2021-12-31,332
240141,FAIRVIEW NORTHLAND REG,2021-01-01,2021-12-31,34
263027,RUSK REHABILITATION HOSPITAL  AN AFF,2021-01-01,2021-12-31,60
313035,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,60
323027,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,87
330175,GUTHRIE CORTLAND MEDICAL CENTER,2021-07-01,2022-06-30,173
423025,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,96
423026,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,88
423027,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,49
423029,ANMED HEALTH REHABILITATION HOSPITAL,2021-01-01,2021-12-31,60
443029,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,80
443031,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,50
443036,WEST TENNESSEE HEALTHCARE REHABILITA,2020-10-01,2021-09-30,48
453029,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,74
453040,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,85
453057,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,80
460003,SALT LAKE REGIONAL MEDICAL CENTER,2021-09-01,2022-08-31,136
493028,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,40
493029,UVA ENCOMPASS HEALTH REHABILITATION,2021-01-01,2021-12-31,50
42008,CHRISTUS DUBUIS HOSPITAL OF FORT SMI,2021-09-01,2022-08-31,25
50169,PIH HEALTH WHITTIER HOSPITAL,2020-10-01,2021-09-30,428
50393,PIH HEALTH DOWNEY HOSPITAL,2020-10-01,2021-09-30,165
54149,WILLOW ROCK CENTER,2021-07-01,2022-06-30,
111314,LIFE BRITE COMMUNITY HOSPITAL OF EA,2020-10-01,2020-12-31,152
141304,GENESIS MEDICAL CENTER - ALEDO,2021-07-01,2022-06-30,22
161313,GENESIS MEDICAL CENTER - DEWITT,2021-07-01,2022-06-30,13
192012,CHRISTUS DUBUIS - ALEXANDRIA,2021-09-01,2022-08-31,25
204008,RIVERVIEW PSYCHIATRIC HOSPITAL,2021-07-01,2022-06-30,92
281303,NIOBRARA VALLEY HOSPITAL,2021-09-01,2022-08-31,15
342013,PAM SPECIALTY HOSP. OF ROCKY MOUNT,2021-09-01,2022-08-31,50
364040,MENTAL HEALTH SRVS FOR CLARK COUNTY,2021-07-01,2022-06-30,16
452056,POST ACUTE MEDICAL VICTORIA,2021-09-01,2022-08-31,23
453053,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,60
460017,BRIGHAM CITY COMMUNITY HOSPITAL,2021-09-01,2022-08-31,40
20017,ALASKA REGIONAL HOSPITAL,2021-01-01,2021-12-31,176
53034,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,48
53040,ENCOMPASS HEALTH REHABILITATION HOSP,2020-10-01,2021-09-30,50
121300,KAUAI VETERANS MEMORIAL HOSPITAL,2021-07-01,2022-06-30,45
144035,LINDEN OAKS HOSPITAL,2021-07-01,2022-06-30,110
192015,OCHSNER EXTENDED CARE HOSPITAL,2021-09-01,2022-08-31,35
230077,ST. MARYS OF MICHIGAN,2021-07-01,2022-06-30,226
50289,SETON MEDICAL CENTER,2021-01-27,2021-06-30,478
52033,VIBRA HOSPITAL OF SACRAMENTO,2021-09-01,2022-08-31,58
64001,CO MENTAL HEALTH INSTITUTE - PUEBLO,2021-07-01,2022-06-30,516
64003,COLORADO MENTAL HEALTH INST-FT LOGAN,2021-07-01,2022-06-30,94
104001,BROWARD,2021-07-01,2022-06-30,
111329,ST MARYS GOOD SAMARITAN,2021-07-01,2022-06-30,25
194025,CENTRAL LA. STATE HOSPITAL,2021-07-01,2022-06-30,148
230019,ASCENSION PROVIDENCE HOSPITAL,2021-07-01,2022-06-30,599
230035,SPECTRUM HEALTH UNITED MEMORIAL,2021-01-01,2021-12-31,85
271345,CENTRAL MONTANA MEDICAL CENTER,2021-07-01,2022-06-30,25
281332,BUTLER COUNTY HEALTH CARE CENTER,2021-07-01,2022-06-30,20
292004,PAM SPECIALTY HOSPITAL OF SPARKS,2021-09-01,2022-08-31,21
293032,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,90
373034,ST. JOHN REHABILITATION HOSPITAL  AN,2020-10-01,2021-09-30,60
384008,OREGON STATE HOSPITAL,2021-07-01,2022-06-30,578
392025,POST ACUTE MEDICAL AT NANTICOKE,2021-09-01,2022-08-31,36
394014,WERNERSVILLE STATE HOSPITAL,2021-07-01,2022-06-30,266
422005,VIBRA HOSPITAL OF CHARLESTON  LLC,2021-09-01,2022-08-31,59
452042,CHRISTUS DUBUIS HOSPITAL OF,2021-09-01,2022-08-31,33
452059,PAM SPC HOSP OF SAN ANTONIO MED CTR,2021-09-01,2022-08-31,62
452061,PAM SQUARED AT TEXARKANA,2021-09-01,2022-08-31,30
452086,PAM SQUARED AT CORPUS CHRISTI,2021-09-01,2022-08-31,41
452090,WARM SPRINGS SPECIALTY HOSP OF SA,2021-09-01,2022-08-31,26
460039,BEAR RIVER VALLEY HOSPITAL,2021-01-01,2021-12-31,14
494022,POPLAR SPRINGS HOSPITAL,2021-09-01,2022-08-31,168
673057,WARM SPRINGS REHAB HOSP KYLE,2021-09-01,2022-08-31,40
21313,SOUTH PENINSULA HOSPITAL,2021-07-01,2022-06-30,49
83026,ENCOMPASS HEALTH REHABILITATION HOSP,2020-10-01,2021-09-30,40
272001,ADVANCED CARE HOSPITAL OF MONTANA,2021-09-01,2022-08-31,40
372018,POST ACUTE MEDICAL TULSA,2021-09-01,2022-08-31,60
394012,CLARKS SUMMIT STATE  HOSPITAL,2021-07-01,2022-06-30,203
431318,BOWDLE HOSPITAL,2021-07-01,2022-06-30,46
450119,SOUTH TEXAS HEALTH SYSTEM,2021-01-01,2021-12-31,838
453301,DRISCOLL CHILDRENS HOSPITAL,2021-09-01,2022-08-31,191
500030,ST. JOSEPH MEDICAL CENTER,2021-07-01,2022-06-30,248
12009,NOLAND HOSPITAL BIRMINGHAM II,2021-09-01,2022-08-31,79
12010,NOLAND HOSPITAL DOTHAN II,2021-09-01,2022-08-31,38
12011,NOLAND HOSPITAL ANNISTON II,2021-09-01,2022-08-31,38
12012,NOLAND HOSPITAL TUSCALOOSA II,2021-09-01,2022-08-31,32
32000,CURAHEALTH PHOENIX NORTHWEST,2021-09-01,2022-08-31,58
50441,STANFORD HEALTH CARE,2021-09-01,2022-08-31,603
102012,CURAHEALTH JACKSONVILLE LLC,2021-09-01,2022-08-31,107
140275,GENESIS MEDICAL CENTER - SILVIS,2021-07-01,2022-06-30,145
160033,GENESIS MEDICAL CENTER - DAVENPORT,2021-07-01,2022-06-30,359
161332,MANNING REGIONAL HEALTHCARE CENTER,2021-07-01,2022-06-30,17
194008,EAST LA STATE MENTAL HEALTH SYSTEM,2021-07-01,2022-06-30,334
222002,PAM SPECIALTY HOSPITAL OF STOUGHTON,2021-09-01,2022-08-31,88
222046,VIBRA HOSPITAL OF WESTERN MASSACHUSE,2021-09-01,2022-08-31,77
223026,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,179
223029,FAIRLAWN REHABILITATION HOSPITAL  AN,2020-10-01,2021-09-30,110
230099,MONROE REGIONAL HOSPITAL,2021-01-01,2021-12-31,147
250134,WHITFIELD MEDICAL SURGICAL CENTER,2021-07-01,2022-06-30,32
293033,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,50
310021,ST. FRANCIS - TRENTON,2021-07-01,2022-06-30,134
321304,UNION COUNTY GEN. HOSPITAL,2021-07-01,2022-06-30,25
330277,CORNING HOSPITAL,2021-07-01,2022-06-30,65
362028,PAM SPECIALTY HOSPITAL OF DAYTON,2021-09-01,2022-08-31,44
372004,CURAHEALTH OKLAHOMA CITY,2021-09-01,2022-08-31,59
392028,CURAHEALTH PITTSBURGH,2021-09-01,2022-08-31,63
392043,CURAHEALTH HERITAGE VALLEY,2021-09-01,2022-08-31,35
394001,NORRISTOWN STATE HOSPITAL,2021-07-01,2022-06-30,374
394016,WARREN STATE HOSPITAL,2021-07-01,2022-06-30,152
460015,LOGAN REGIONAL HOSPITAL,2021-01-01,2021-12-31,132
490069,MEMORIAL REGIONAL MEDICAL CENTER,2021-09-01,2022-08-31,199
490094,RICHMOND COMMUNITY HOSPITAL,2021-09-01,2022-08-31,96
491308,RAPPAHANNOCK GENERAL HOSPITAL,2021-09-01,2022-08-31,35
50038,SANTA CLARA VALLEY MEDICAL CENTER,2021-07-01,2022-06-30,934
54089,JEWISH HOME FOR THE AGED,2021-07-01,2022-06-30,375
112006,EMORY LONG TERM ACUTE CARE,2021-09-01,2022-08-31,56
112018,LANDMARK HOSPITAL OF SAVANNAH,2021-09-01,2022-08-31,50
113031,EMORY REHABILITATION HOSPITAL,2021-09-01,2022-08-31,56
140018,MOUNT SINAI HOSPITAL MEDICAL CENTER,2021-07-01,2022-06-30,264
140133,HOLY CROSS HOSPITAL,2021-07-01,2022-06-30,155
220086,BETH ISRAEL DEACONESS MEDICAL CENTER,2020-10-01,2021-09-30,743
244005,CHILD & ADOLESCENT BEH. HEALTH SRVS.,2021-07-01,2022-06-30,5
244011,ANNANDALE BEHAVIORAL HEALTH HSP,2021-07-01,2022-06-30,16
244017,CBHH- ROCHESTER,2021-07-01,2022-06-30,16
350002,ST ALEXIUS MEDICAL CENTER,2021-07-01,2022-06-30,202
351303,GARRISON MEMORIAL HOSPITAL,2021-07-01,2022-06-30,48
351333,MERCY HOSPITAL,2021-07-01,2022-06-30,25
351334,MERCY MEDICAL CENTER,2021-07-01,2022-06-30,25
351336,ST JOSEPHS HOSPITAL & HEALTH CTR,2021-07-01,2022-06-30,25
370028,INTEGRIS BAPTIST MEDICAL CENTER,2021-07-01,2022-06-30,650
370106,INTEGRIS SOUTHWEST MEDICAL CENTER,2021-07-01,2022-06-30,236
371327,OKEENE MUNICIPAL HOSPITAL,2021-07-01,2022-06-30,17
450076,UT MD ANDERSON CANCER CENTER,2021-09-01,2022-08-31,698
452029,CONTINUECARE HOSPITAL AT HENDRICK MC,2021-09-01,2022-08-31,23
453054,ENCOMPASS HEALTH REHABILITATION HOSP,2021-01-01,2021-12-31,63
462004,KPC PROMISE HOSPITAL OF SALT LAKE,2021-09-01,2022-08-31,41
501335,ENUMCLAW REGIONAL HOSPITAL DBA SEH,2021-07-01,2022-06-30,25
521354,SOUTHWEST HEALTH CENTER,2021-07-01,2022-06-30,35
673072,COBALT REHABILITATION HOUSTON HEIGHT,2021-09-01,2022-08-31,34
32006,KPC PROMISE HOSPITAL OF PHOENIX,2021-09-01,2022-08-31,48
43031,CHI ST. VINCENT SHERWOOD REHABILITAT,2021-01-01,2021-12-31,80
143025,SCHWAB REHAB HOSP & CARE NETWORK,2021-07-01,2022-06-30,52
